num_nodes,num_edges,cascade_size,tree_depth,in_degrees,out_degrees,propagation_delay,reaction_times,betweenness_centrality,closeness_centrality,filename
8,12,7,3,"{'ROOT': 0, '498430783699554305': 3, '498432131669192704': 3, '498433698149056513': 2, '498440508256292864': 1, '498474828278804481': 1, '498488174923227136': 1, '498504798971650049': 1}","{'ROOT': 1, '498430783699554305': 5, '498432131669192704': 1, '498433698149056513': 1, '498440508256292864': 3, '498474828278804481': 0, '498488174923227136': 0, '498504798971650049': 1}",3213.33,"[3213.33, 216.48999999999998, 255.47]","{'ROOT': 0.0, '498430783699554305': 0.38095238095238093, '498432131669192704': 0.16666666666666666, '498433698149056513': 0.11904761904761904, '498440508256292864': 0.07142857142857142, '498474828278804481': 0.0, '498488174923227136': 0.0, '498504798971650049': 0.0}","{'ROOT': 0.0, '498430783699554305': 0.38095238095238093, '498432131669192704': 0.45714285714285713, '498433698149056513': 0.39682539682539686, '498440508256292864': 0.2857142857142857, '498474828278804481': 0.3246753246753247, '498488174923227136': 0.34285714285714286, '498504798971650049': 0.25396825396825395}",498430783699554305.txt
14,15,13,3,"{'ROOT': 0, '500378223977721856': 2, '500378447597039617': 1, '500378498054500352': 1, '500379064146751490': 1, '500379350563569666': 1, '500379398525431809': 1, '500379599185125376': 1, '500379949463654401': 1, '500380991035559937': 2, '500382426909392896': 1, '500385105337417728': 1, '500387422417338368': 1, '500396771345199104': 1}","{'ROOT': 1, '500378223977721856': 12, '500378447597039617': 0, '500378498054500352': 0, '500379064146751490': 0, '500379350563569666': 0, '500379398525431809': 0, '500379599185125376': 0, '500379949463654401': 0, '500380991035559937': 1, '500382426909392896': 1, '500385105337417728': 0, '500387422417338368': 0, '500396771345199104': 0}",2288.37,"[2288.37, 5.699999999999999]","{'ROOT': 0.0, '500378223977721856': 0.07692307692307693, '500378447597039617': 0.0, '500378498054500352': 0.0, '500379064146751490': 0.0, '500379350563569666': 0.0, '500379398525431809': 0.0, '500379599185125376': 0.0, '500379949463654401': 0.0, '500380991035559937': 0.01282051282051282, '500382426909392896': 0.0, '500385105337417728': 0.0, '500387422417338368': 0.0, '500396771345199104': 0.0}","{'ROOT': 0.0, '500378223977721856': 0.07692307692307693, '500378447597039617': 0.10256410256410256, '500378498054500352': 0.10256410256410256, '500379064146751490': 0.10256410256410256, '500379350563569666': 0.10256410256410256, '500379398525431809': 0.10256410256410256, '500379599185125376': 0.10256410256410256, '500379949463654401': 0.10256410256410256, '500380991035559937': 0.17307692307692307, '500382426909392896': 0.11538461538461539, '500385105337417728': 0.10256410256410256, '500387422417338368': 0.10256410256410256, '500396771345199104': 0.10256410256410256}",500378223977721856.txt
15,23,14,3,"{'ROOT': 0, '524922729485848576': 7, '524923106289516546': 1, '524923432933552128': 1, '524924489058889728': 1, '524927409100193792': 1, '524929863333842944': 1, '524935505755254786': 1, '524935834941001728': 2, '524940813089144833': 1, '524941702046707712': 1, '524964692423630849': 1, '524996775049191424': 2, '525014151161081856': 2, '525020495759282176': 1}","{'ROOT': 1, '524922729485848576': 11, '524923106289516546': 0, '524923432933552128': 0, '524924489058889728': 0, '524927409100193792': 0, '524929863333842944': 1, '524935505755254786': 1, '524935834941001728': 4, '524940813089144833': 0, '524941702046707712': 1, '524964692423630849': 0, '524996775049191424': 2, '525014151161081856': 2, '525020495759282176': 0}",9092.45,"[9092.45, 114.67, 242.15000000000003, 311.2, 25.220000000000027]","{'ROOT': 0.0, '524922729485848576': 0.4175824175824176, '524923106289516546': 0.0, '524923432933552128': 0.0, '524924489058889728': 0.0, '524927409100193792': 0.0, '524929863333842944': 0.0, '524935505755254786': 0.0, '524935834941001728': 0.13186813186813187, '524940813089144833': 0.0, '524941702046707712': 0.0, '524964692423630849': 0.0, '524996775049191424': 0.0, '525014151161081856': 0.038461538461538464, '525020495759282176': 0.0}","{'ROOT': 0.0, '524922729485848576': 0.4375, '524923106289516546': 0.2857142857142857, '524923432933552128': 0.2857142857142857, '524924489058889728': 0.2857142857142857, '524927409100193792': 0.2857142857142857, '524929863333842944': 0.25, '524935505755254786': 0.25, '524935834941001728': 0.2916666666666667, '524940813089144833': 0.2857142857142857, '524941702046707712': 0.25, '524964692423630849': 0.22857142857142856, '524996775049191424': 0.19444444444444445, '525014151161081856': 0.2916666666666667, '525020495759282176': 0.22857142857142856}",524922729485848576.txt
12,14,11,2,"{'ROOT': 0, '524923462398513152': 4, '524923588701614080': 1, '524925243245461504': 1, '524925639170998272': 1, '524926370502430720': 1, '524926523317710848': 1, '524929751094665216': 1, '524930875482705920': 1, '524934870469197824': 1, '524938029920948224': 1, '524943172875845632': 1}","{'ROOT': 1, '524923462398513152': 11, '524923588701614080': 1, '524925243245461504': 0, '524925639170998272': 0, '524926370502430720': 0, '524926523317710848': 1, '524929751094665216': 0, '524930875482705920': 0, '524934870469197824': 0, '524938029920948224': 0, '524943172875845632': 0}",7548.02,[7548.02],"{'ROOT': 0.0, '524923462398513152': 0.2545454545454545, '524923588701614080': 0.0, '524925243245461504': 0.0, '524925639170998272': 0.0, '524926370502430720': 0.0, '524926523317710848': 0.0, '524929751094665216': 0.0, '524930875482705920': 0.0, '524934870469197824': 0.0, '524938029920948224': 0.0, '524943172875845632': 0.0}","{'ROOT': 0.0, '524923462398513152': 0.2727272727272727, '524923588701614080': 0.1636363636363636, '524925243245461504': 0.20779220779220778, '524925639170998272': 0.20779220779220778, '524926370502430720': 0.20779220779220778, '524926523317710848': 0.1636363636363636, '524929751094665216': 0.20779220779220778, '524930875482705920': 0.20779220779220778, '524934870469197824': 0.20779220779220778, '524938029920948224': 0.20779220779220778, '524943172875845632': 0.20779220779220778}",524923462398513152.txt
10,10,9,2,"{'ROOT': 0, '524923676484177920': 2, '524924651080650752': 1, '524925154800181248': 1, '524925391266664448': 1, '524925449068355584': 1, '524925539996667904': 1, '524926568171577345': 1, '524932346961985536': 1, '524941166505373697': 1}","{'ROOT': 1, '524923676484177920': 9, '524924651080650752': 0, '524925154800181248': 0, '524925391266664448': 0, '524925449068355584': 0, '524925539996667904': 0, '524926568171577345': 0, '524932346961985536': 0, '524941166505373697': 0}",495.05,[495.05],"{'ROOT': 0.0, '524923676484177920': 0.1111111111111111, '524924651080650752': 0.0, '524925154800181248': 0.0, '524925391266664448': 0.0, '524925449068355584': 0.0, '524925539996667904': 0.0, '524926568171577345': 0.0, '524932346961985536': 0.0, '524941166505373697': 0.0}","{'ROOT': 0.0, '524923676484177920': 0.1111111111111111, '524924651080650752': 0.14814814814814814, '524925154800181248': 0.14814814814814814, '524925391266664448': 0.14814814814814814, '524925449068355584': 0.14814814814814814, '524925539996667904': 0.14814814814814814, '524926568171577345': 0.14814814814814814, '524932346961985536': 0.14814814814814814, '524941166505373697': 0.14814814814814814}",524923676484177920.txt
13,13,12,2,"{'ROOT': 0, '524925050739490816': 2, '524925341316689920': 1, '524925553070329856': 1, '524925775678816256': 1, '524926071599534080': 1, '524926310565814272': 1, '524926357927903232': 1, '524929224260714499': 1, '524929840173309952': 1, '524930352000036864': 1, '524930718645092353': 1, '524932019248463872': 1}","{'ROOT': 1, '524925050739490816': 12, '524925341316689920': 0, '524925553070329856': 0, '524925775678816256': 0, '524926071599534080': 0, '524926310565814272': 0, '524926357927903232': 0, '524929224260714499': 0, '524929840173309952': 0, '524930352000036864': 0, '524930718645092353': 0, '524932019248463872': 0}",687.3,[687.3],"{'ROOT': 0.0, '524925050739490816': 0.08333333333333334, '524925341316689920': 0.0, '524925553070329856': 0.0, '524925775678816256': 0.0, '524926071599534080': 0.0, '524926310565814272': 0.0, '524926357927903232': 0.0, '524929224260714499': 0.0, '524929840173309952': 0.0, '524930352000036864': 0.0, '524930718645092353': 0.0, '524932019248463872': 0.0}","{'ROOT': 0.0, '524925050739490816': 0.08333333333333333, '524925341316689920': 0.1111111111111111, '524925553070329856': 0.1111111111111111, '524925775678816256': 0.1111111111111111, '524926071599534080': 0.1111111111111111, '524926310565814272': 0.1111111111111111, '524926357927903232': 0.1111111111111111, '524929224260714499': 0.1111111111111111, '524929840173309952': 0.1111111111111111, '524930352000036864': 0.1111111111111111, '524930718645092353': 0.1111111111111111, '524932019248463872': 0.1111111111111111}",524925050739490816.txt
19,19,18,2,"{'ROOT': 0, '524925215235911680': 2, '524925724499935232': 1, '524925756087214082': 1, '524926127174078464': 1, '524926300990214144': 1, '524926377481736192': 1, '524927455715663872': 1, '524928075981918209': 1, '524928329468870657': 1, '524929949258768384': 1, '524931144476028928': 1, '524933596113801218': 1, '524934180548124672': 1, '524935683908333569': 1, '524935939077206016': 1, '524937442655477761': 1, '524937817924067328': 1, '524940919494426624': 1}","{'ROOT': 1, '524925215235911680': 18, '524925724499935232': 0, '524925756087214082': 0, '524926127174078464': 0, '524926300990214144': 0, '524926377481736192': 0, '524927455715663872': 0, '524928075981918209': 0, '524928329468870657': 0, '524929949258768384': 0, '524931144476028928': 0, '524933596113801218': 0, '524934180548124672': 0, '524935683908333569': 0, '524935939077206016': 0, '524937442655477761': 0, '524937817924067328': 0, '524940919494426624': 0}",901.78,[901.78],"{'ROOT': 0.0, '524925215235911680': 0.05555555555555556, '524925724499935232': 0.0, '524925756087214082': 0.0, '524926127174078464': 0.0, '524926300990214144': 0.0, '524926377481736192': 0.0, '524927455715663872': 0.0, '524928075981918209': 0.0, '524928329468870657': 0.0, '524929949258768384': 0.0, '524931144476028928': 0.0, '524933596113801218': 0.0, '524934180548124672': 0.0, '524935683908333569': 0.0, '524935939077206016': 0.0, '524937442655477761': 0.0, '524937817924067328': 0.0, '524940919494426624': 0.0}","{'ROOT': 0.0, '524925215235911680': 0.05555555555555555, '524925724499935232': 0.07407407407407407, '524925756087214082': 0.07407407407407407, '524926127174078464': 0.07407407407407407, '524926300990214144': 0.07407407407407407, '524926377481736192': 0.07407407407407407, '524927455715663872': 0.07407407407407407, '524928075981918209': 0.07407407407407407, '524928329468870657': 0.07407407407407407, '524929949258768384': 0.07407407407407407, '524931144476028928': 0.07407407407407407, '524933596113801218': 0.07407407407407407, '524934180548124672': 0.07407407407407407, '524935683908333569': 0.07407407407407407, '524935939077206016': 0.07407407407407407, '524937442655477761': 0.07407407407407407, '524937817924067328': 0.07407407407407407, '524940919494426624': 0.07407407407407407}",524925215235911680.txt
6,6,5,2,"{'ROOT': 0, '524925987239120897': 2, '524930594464362496': 1, '524930943971504129': 1, '524933733246574592': 1, '524938679958405120': 1}","{'ROOT': 1, '524925987239120897': 5, '524930594464362496': 0, '524930943971504129': 0, '524933733246574592': 0, '524938679958405120': 0}",330.73,[330.73],"{'ROOT': 0.0, '524925987239120897': 0.2, '524930594464362496': 0.0, '524930943971504129': 0.0, '524933733246574592': 0.0, '524938679958405120': 0.0}","{'ROOT': 0.0, '524925987239120897': 0.2, '524930594464362496': 0.26666666666666666, '524930943971504129': 0.26666666666666666, '524933733246574592': 0.26666666666666666, '524938679958405120': 0.26666666666666666}",524925987239120897.txt
8,8,7,2,"{'ROOT': 0, '524926235030589440': 2, '524926344992686081': 1, '524926674417500160': 1, '524926750506377216': 1, '524929568327888896': 1, '524937952820883456': 1, '524946118774620161': 1}","{'ROOT': 1, '524926235030589440': 7, '524926344992686081': 0, '524926674417500160': 0, '524926750506377216': 0, '524929568327888896': 0, '524937952820883456': 0, '524946118774620161': 0}",474.13,[474.13],"{'ROOT': 0.0, '524926235030589440': 0.14285714285714285, '524926344992686081': 0.0, '524926674417500160': 0.0, '524926750506377216': 0.0, '524929568327888896': 0.0, '524937952820883456': 0.0, '524946118774620161': 0.0}","{'ROOT': 0.0, '524926235030589440': 0.14285714285714285, '524926344992686081': 0.19047619047619047, '524926674417500160': 0.19047619047619047, '524926750506377216': 0.19047619047619047, '524929568327888896': 0.19047619047619047, '524937952820883456': 0.19047619047619047, '524946118774620161': 0.19047619047619047}",524926235030589440.txt
6,7,5,2,"{'ROOT': 0, '524931324763992064': 3, '524931653781958656': 1, '524932468437053440': 1, '524934352845938689': 1, '524936002297933824': 1}","{'ROOT': 1, '524931324763992064': 5, '524931653781958656': 0, '524932468437053440': 1, '524934352845938689': 0, '524936002297933824': 0}",52.38,[52.38],"{'ROOT': 0.0, '524931324763992064': 0.35000000000000003, '524931653781958656': 0.0, '524932468437053440': 0.0, '524934352845938689': 0.0, '524936002297933824': 0.0}","{'ROOT': 0.0, '524931324763992064': 0.4, '524931653781958656': 0.36, '524932468437053440': 0.26666666666666666, '524934352845938689': 0.36, '524936002297933824': 0.36}",524931324763992064.txt
16,25,15,3,"{'ROOT': 0, '524932935137628160': 7, '524933104742723584': 2, '524933148380237825': 1, '524933274444238848': 1, '524933385010290688': 1, '524933431793553408': 1, '524933486407602176': 1, '524934003892432896': 1, '524936650087231488': 2, '524939106367721472': 1, '524939588406878208': 1, '524940223160287232': 2, '524962247563431936': 1, '524970141189431296': 1, '524990987308134400': 2}","{'ROOT': 1, '524932935137628160': 12, '524933104742723584': 1, '524933148380237825': 0, '524933274444238848': 0, '524933385010290688': 0, '524933431793553408': 0, '524933486407602176': 0, '524934003892432896': 1, '524936650087231488': 4, '524939106367721472': 0, '524939588406878208': 1, '524940223160287232': 2, '524962247563431936': 2, '524970141189431296': 0, '524990987308134400': 1}",1549.52,"[1549.52, 25.759999999999998, 14.2, 101.72, 133.08, 114.19999999999999]","{'ROOT': 0.0, '524932935137628160': 0.3404761904761905, '524933104742723584': 0.03333333333333334, '524933148380237825': 0.0, '524933274444238848': 0.0, '524933385010290688': 0.0, '524933431793553408': 0.0, '524933486407602176': 0.0, '524934003892432896': 0.0, '524936650087231488': 0.05238095238095239, '524939106367721472': 0.0, '524939588406878208': 0.0, '524940223160287232': 0.0, '524962247563431936': 0.002380952380952381, '524970141189431296': 0.0, '524990987308134400': 0.0}","{'ROOT': 0.0, '524932935137628160': 0.4, '524933104742723584': 0.30476190476190473, '524933148380237825': 0.2512820512820513, '524933274444238848': 0.2512820512820513, '524933385010290688': 0.2512820512820513, '524933431793553408': 0.2512820512820513, '524933486407602176': 0.2512820512820513, '524934003892432896': 0.21818181818181817, '524936650087231488': 0.24, '524939106367721472': 0.2512820512820513, '524939588406878208': 0.20317460317460315, '524940223160287232': 0.24, '524962247563431936': 0.17142857142857143, '524970141189431296': 0.19215686274509802, '524990987308134400': 0.24}",524932935137628160.txt
6,7,5,2,"{'ROOT': 0, '524935485370929152': 3, '524935708814086144': 1, '524935836899766272': 1, '524936215637000192': 1, '524937423420411904': 1}","{'ROOT': 1, '524935485370929152': 5, '524935708814086144': 1, '524935836899766272': 0, '524936215637000192': 0, '524937423420411904': 0}",1377.75,[1377.75],"{'ROOT': 0.0, '524935485370929152': 0.35000000000000003, '524935708814086144': 0.0, '524935836899766272': 0.0, '524936215637000192': 0.0, '524937423420411904': 0.0}","{'ROOT': 0.0, '524935485370929152': 0.4, '524935708814086144': 0.26666666666666666, '524935836899766272': 0.36, '524936215637000192': 0.36, '524937423420411904': 0.36}",524935485370929152.txt
18,19,17,4,"{'ROOT': 0, '524936872666353664': 3, '524936987070189568': 1, '524937045064818688': 1, '524937229001842688': 1, '524937277081145345': 1, '524937325252313088': 1, '524937374841987072': 1, '524937375865401344': 1, '524937381024378880': 1, '524937401597427712': 1, '524937518547206144': 1, '524937849633009664': 1, '524937867685289984': 1, '524937966615920640': 1, '524939448199692288': 1, '524940069942358016': 1, '524941538111922178': 1}","{'ROOT': 1, '524936872666353664': 15, '524936987070189568': 0, '524937045064818688': 0, '524937229001842688': 0, '524937277081145345': 0, '524937325252313088': 0, '524937374841987072': 0, '524937375865401344': 0, '524937381024378880': 0, '524937401597427712': 0, '524937518547206144': 0, '524937849633009664': 0, '524937867685289984': 0, '524937966615920640': 1, '524939448199692288': 1, '524940069942358016': 1, '524941538111922178': 0}",967.2,"[967.2, 8.370000000000001, 5.83]","{'ROOT': 0.0, '524936872666353664': 0.11397058823529412, '524936987070189568': 0.0, '524937045064818688': 0.0, '524937229001842688': 0.0, '524937277081145345': 0.0, '524937325252313088': 0.0, '524937374841987072': 0.0, '524937375865401344': 0.0, '524937381024378880': 0.0, '524937401597427712': 0.0, '524937518547206144': 0.0, '524937849633009664': 0.0, '524937867685289984': 0.0, '524937966615920640': 0.022058823529411763, '524939448199692288': 0.0, '524940069942358016': 0.014705882352941176, '524941538111922178': 0.0}","{'ROOT': 0.0, '524936872666353664': 0.11764705882352941, '524936987070189568': 0.10588235294117647, '524937045064818688': 0.10588235294117647, '524937229001842688': 0.10588235294117647, '524937277081145345': 0.10588235294117647, '524937325252313088': 0.10588235294117647, '524937374841987072': 0.10588235294117647, '524937375865401344': 0.10588235294117647, '524937381024378880': 0.10588235294117647, '524937401597427712': 0.10588235294117647, '524937518547206144': 0.10588235294117647, '524937849633009664': 0.10588235294117647, '524937867685289984': 0.10588235294117647, '524937966615920640': 0.10588235294117647, '524939448199692288': 0.0784313725490196, '524940069942358016': 0.1045751633986928, '524941538111922178': 0.10504201680672269}",524936872666353664.txt
4,4,3,2,"{'ROOT': 0, '524941132237910016': 2, '524941892115783680': 1, '524944416721862656': 1}","{'ROOT': 1, '524941132237910016': 3, '524941892115783680': 0, '524944416721862656': 0}",1832.55,[1832.55],"{'ROOT': 0.0, '524941132237910016': 0.3333333333333333, '524941892115783680': 0.0, '524944416721862656': 0.0}","{'ROOT': 0.0, '524941132237910016': 0.3333333333333333, '524941892115783680': 0.4444444444444444, '524944416721862656': 0.4444444444444444}",524941132237910016.txt
5,5,4,2,"{'ROOT': 0, '524942470472548352': 2, '524943159726309376': 1, '524943410520924161': 1, '524944078870700032': 1}","{'ROOT': 1, '524942470472548352': 4, '524943159726309376': 0, '524943410520924161': 0, '524944078870700032': 0}",81.52,[81.52],"{'ROOT': 0.0, '524942470472548352': 0.25, '524943159726309376': 0.0, '524943410520924161': 0.0, '524944078870700032': 0.0}","{'ROOT': 0.0, '524942470472548352': 0.25, '524943159726309376': 0.3333333333333333, '524943410520924161': 0.3333333333333333, '524944078870700032': 0.3333333333333333}",524942470472548352.txt
